@RELATION precipitacao_tabatinga

@ATTRIBUTE Ano STRING
@ATTRIBUTE Maxima NUMERIC
@ATTRIBUTE Total NUMERIC
@ATTRIBUTE NumDiasDeChuva NUMERIC
@ATTRIBUTE NumDiasSemChuva NUMERIC
@ATTRIBUTE Estacao {Verao,Outono,Inverno,Primavera}
@ATTRIBUTE Classificacao_Chuva {MuitoChuvoso,Normal,MuitoSeco}

@DATA
2025,190.3,498.6,25,6,Verao,MuitoChuvoso
2025,112.5,330.29999999999995,17,13,Primavera,MuitoChuvoso
2025,33.5,205.2,20,11,Primavera,Normal
2025,66.5,264.0,16,14,Primavera,Normal
2025,39.0,82.0,10,21,Inverno,MuitoSeco
2025,45.6,194.1,9,22,Inverno,Normal
2025,36.9,158.2,14,16,Inverno,Normal
2025,38.8,225.49999999999997,17,14,Outono,Normal
2025,144.9,342.5,20,10,Outono,MuitoChuvoso
2025,89.9,309.90000000000003,17,14,Outono,MuitoChuvoso
2025,83.1,484.6,25,3,Verao,MuitoChuvoso
2025,54.3,292.1,22,9,Verao,MuitoChuvoso
2024,69.6,345.19999999999993,18,13,Verao,MuitoChuvoso
2024,85.7,365.7000000000001,20,10,Primavera,MuitoChuvoso
2024,70.4,253.4,11,20,Primavera,Normal
2024,34.1,76.30000000000001,8,22,Primavera,MuitoSeco
2024,110.0,171.5,6,25,Inverno,Normal
2024,9.5,13.9,5,26,Inverno,MuitoSeco
2024,26.5,117.5,14,16,Inverno,MuitoSeco
2024,113.2,410.6,22,9,Outono,MuitoChuvoso
2024,49.8,247.0,18,12,Outono,Normal
2024,139.8,422.0,21,10,Outono,MuitoChuvoso
2024,74.0,437.69999999999993,21,8,Verao,MuitoChuvoso
2024,56.8,348.30000000000007,22,9,Verao,MuitoChuvoso
2023,89.2,351.19999999999993,22,9,Verao,MuitoChuvoso
2023,72.0,418.80000000000007,15,15,Primavera,MuitoChuvoso
2023,34.7,120.70000000000002,9,22,Primavera,MuitoSeco
2023,47.6,160.6,13,17,Primavera,Normal
2023,19.2,45.8,7,24,Inverno,MuitoSeco
2023,55.0,211.7,12,19,Inverno,Normal
2023,34.7,176.9,16,14,Inverno,Normal
2023,109.7,414.63000000000005,20,11,Outono,MuitoChuvoso
2023,77.1,365.1,20,10,Outono,MuitoChuvoso
2023,61.1,216.7,17,14,Outono,Normal
2023,88.0,469.6,22,6,Verao,MuitoChuvoso
2023,76.9,454.1,22,9,Verao,MuitoChuvoso
2022,86.0,347.90000000000003,17,14,Verao,MuitoChuvoso
2022,107.2,492.30000000000007,15,15,Primavera,MuitoChuvoso
2022,68.3,209.1,15,16,Primavera,Normal
2022,38.9,108.6,6,24,Primavera,MuitoSeco
2022,38.5,149.89999999999998,12,19,Inverno,Normal
2022,77.6,190.5,18,13,Inverno,Normal
2022,43.9,199.7,15,15,Inverno,Normal
2022,20.0,110.10000000000002,16,15,Outono,MuitoSeco
2022,97.7,409.50000000000006,24,6,Outono,MuitoChuvoso
2022,98.0,626.1999999999999,28,3,Outono,MuitoChuvoso
2022,109.9,350.3,18,10,Verao,MuitoChuvoso
2022,132.2,427.2000000000001,23,8,Verao,MuitoChuvoso
2021,99.3,451.5,21,10,Verao,MuitoChuvoso
2021,90.6,349.01000000000005,20,10,Primavera,MuitoChuvoso
2021,39.5,243.3,19,12,Primavera,Normal
2021,20.7,79.50000000000001,11,20,Inverno,MuitoSeco
2021,44.9,180.6,21,9,Inverno,Normal
2021,90.6,323.4,20,11,Outono,MuitoChuvoso
2021,79.1,372.7,21,9,Outono,MuitoChuvoso
2021,151.4,472.7,20,11,Outono,MuitoChuvoso
2021,43.2,200.5,19,9,Verao,Normal
2021,116.6,664.9,28,3,Verao,MuitoChuvoso
2020,56.8,225.7,20,11,Verao,Normal
2020,57.9,217.8,16,14,Primavera,Normal
2020,23.0,92.29999999999998,8,23,Primavera,MuitoSeco
2020,47.4,187.50000000000003,10,20,Primavera,Normal
2020,51.9,137.0,7,24,Inverno,Normal
2020,19.2,72.2,11,20,Inverno,MuitoSeco
2020,38.2,202.6,20,10,Inverno,Normal
2020,248.3,554.3000000000001,18,13,Outono,MuitoChuvoso
2020,103.3,458.8,16,14,Outono,MuitoChuvoso
2020,31.5,183.2,16,15,Outono,Normal
2020,114.1,338.5,18,11,Verao,MuitoChuvoso
2020,43.1,296.1,11,20,Verao,MuitoChuvoso
2019,81.6,533.8000000000001,15,16,Verao,MuitoChuvoso
2019,82.3,385.1,22,8,Primavera,MuitoChuvoso
2019,37.5,184.55,16,15,Primavera,Normal
2019,28.3,110.3,12,18,Primavera,MuitoSeco
2019,42.3,122.2,11,20,Inverno,MuitoSeco
2019,37.7,245.3,20,11,Inverno,Normal
2019,57.7,304.9,23,7,Inverno,MuitoChuvoso
2019,43.7,244.8,20,11,Outono,Normal
2019,70.0,250.79999999999995,25,5,Outono,Normal
2019,64.5,351.3,23,8,Outono,MuitoChuvoso
2019,67.6,242.00000000000003,21,7,Verao,Normal
2019,54.1,443.7,21,10,Verao,MuitoChuvoso
2018,56.9,459.3,26,5,Verao,MuitoChuvoso
2018,72.7,328.40000000000003,19,11,Primavera,MuitoChuvoso
2018,68.4,396.3,14,17,Primavera,MuitoChuvoso
2018,31.2,112.2,8,22,Primavera,MuitoSeco
2018,23.3,74.4,11,20,Inverno,MuitoSeco
2018,22.4,88.2,8,23,Inverno,MuitoSeco
2018,45.1,161.0,17,13,Inverno,Normal
2018,60.3,267.7,26,5,Outono,Normal
2018,51.1,236.2,23,7,Outono,Normal
2018,58.2,280.99999999999994,18,13,Outono,MuitoChuvoso
2018,76.5,389.1,23,5,Verao,MuitoChuvoso
2018,126.6,317.20000000000005,20,11,Verao,MuitoChuvoso
2017,70.8,151.8,14,17,Verao,Normal
2017,79.6,305.8999999999999,12,18,Primavera,MuitoChuvoso
2017,69.1,229.40000000000003,16,15,Primavera,Normal
2017,53.1,283.6,17,13,Primavera,MuitoChuvoso
2017,32.8,124.9,13,18,Inverno,MuitoSeco
2017,22.2,46.7,5,26,Inverno,MuitoSeco
