EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Estacao,NumDiasSemChuva,Classificacao_Chuva,Ano
469001,1,2025-12-01,1,190.3,498.6,2.0,25,32.5,190.3,10.3,0.0,11.4,0.2,10.3,28.0,21.5,0.0,0.4,0.0,0.2,4.1,8.3,7.1,5.0,75.9,22.3,0.1,0.0,3.7,0.0,3.6,20.7,5.0,20.3,8.0,2.7,6.7,0.0,Verão,6,Muito Chuvoso,2025
469001,1,2025-11-01,1,112.5,330.29999999999995,23.0,17,0.0,0.0,1.5,0.3,6.7,0.0,5.7,5.2,0.0,41.5,5.2,0.0,0.0,0.0,14.8,0.0,0.3,0.0,37.8,0.1,0.0,0.0,112.5,23.5,0.0,0.0,13.1,33.4,8.2,20.5,,Primavera,13,Muito Chuvoso,2025
469001,1,2025-10-01,1,33.5,205.2,1.0,20,33.5,1.3,0.0,0.0,0.0,7.3,0.0,7.3,0.0,2.1,0.0,0.9,4.7,0.0,5.7,5.7,7.8,22.7,0.0,0.3,0.0,0.0,29.7,21.2,21.8,2.0,0.0,12.5,5.2,12.4,1.1,Primavera,11,Normal,2025
469001,1,2025-09-01,1,66.5,264.0,26.0,16,34.8,0.4,0.0,15.7,0.0,1.4,11.4,0.0,11.4,0.0,11.1,13.2,1.1,0.0,0.0,1.7,28.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,34.0,66.5,0.0,0.0,16.0,16.2,,Primavera,14,Normal,2025
469001,1,2025-08-01,1,39.0,82.0,6.0,10,0.0,0.0,8.2,0.4,0.0,39.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,7.6,0.0,0.4,2.9,0.0,0.0,0.0,13.3,0.4,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Inverno,21,Muito Seco,2025
469001,1,2025-07-01,1,45.6,194.1,29.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1,33.7,0.0,0.0,0.0,0.0,36.5,0.0,0.0,6.1,0.0,0.0,45.6,13.3,1.6,Inverno,22,Normal,2025
469001,1,2025-06-01,1,36.9,158.2,23.0,14,0.0,0.2,0.3,0.0,32.9,14.6,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,24.7,0.1,3.1,0.0,0.0,14.3,36.9,0.0,0.0,10.5,16.0,0.0,0.2,0.0,,Inverno,16,Normal,2025
469001,1,2025-05-01,1,38.8,225.49999999999994,27.0,17,0.0,0.4,2.7,17.2,1.4,0.0,0.0,0.0,0.0,0.0,14.5,0.0,7.5,5.2,0.0,12.5,0.0,17.6,0.0,13.2,0.0,18.2,20.0,0.0,24.2,15.1,38.8,0.0,16.9,0.1,0.0,Outono,14,Normal,2025
469001,1,2025-04-01,1,144.9,342.5,2.0,20,11.1,144.9,0.6,1.8,34.8,7.0,0.1,0.0,26.3,0.3,6.9,7.2,0.5,0.5,0.0,0.0,0.0,13.7,8.6,0.0,0.0,0.0,0.0,0.0,20.1,25.7,0.2,27.5,0.0,4.7,,Outono,10,Muito Chuvoso,2025
469001,1,2025-03-01,1,89.9,309.90000000000003,19.0,17,0.0,0.0,12.4,7.3,17.4,4.4,1.1,0.0,0.0,0.0,0.0,0.0,6.0,1.0,53.2,27.3,0.2,0.7,89.9,0.0,0.0,14.4,0.0,0.0,0.0,7.4,0.0,0.1,0.0,37.8,29.3,Outono,14,Muito Chuvoso,2025
469001,1,2025-02-01,1,83.1,484.59999999999997,18.0,25,17.3,16.3,51.0,0.3,31.4,13.1,23.4,31.3,0.9,5.3,4.1,1.3,18.0,62.0,0.1,0.0,7.6,83.1,0.2,0.0,43.7,1.4,22.3,27.3,8.0,0.3,0.0,14.9,,,,Verão,3,Muito Chuvoso,2025
469001,1,2025-01-01,1,54.3,292.1,30.0,22,25.6,36.9,0.9,4.1,13.9,1.9,4.8,10.8,0.0,23.1,4.4,0.0,6.9,12.9,4.7,0.0,0.0,0.0,0.0,0.0,21.4,3.3,17.3,0.0,0.2,12.3,16.5,0.9,0.0,54.3,15.0,Verão,9,Muito Chuvoso,2025
469001,1,2024-12-01,1,69.6,345.19999999999993,10.0,18,0.0,0.0,0.0,7.0,1.5,44.5,0.0,6.4,13.1,69.6,6.8,0.0,0.0,0.7,0.0,0.0,16.3,13.7,2.2,16.1,0.0,0.0,0.0,0.5,20.5,1.3,54.4,0.0,34.7,0.0,35.9,Verão,13,Muito Chuvoso,2024
469001,1,2024-11-01,1,85.7,365.70000000000005,3.0,20,0.0,0.0,85.7,5.4,0.0,0.0,13.5,2.4,22.0,0.3,0.0,0.0,82.5,5.3,5.2,0.0,0.0,16.6,0.0,0.0,24.0,2.3,18.5,2.3,17.5,2.7,31.5,22.6,2.1,3.3,,Primavera,10,Muito Chuvoso,2024
469001,1,2024-10-01,1,70.4,253.39999999999998,23.0,11,0.0,0.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,22.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0,5.4,70.4,0.0,31.5,1.4,5.2,13.1,51.3,0.0,0.0,Primavera,20,Normal,2024
469001,1,2024-09-01,1,34.1,76.30000000000001,23.0,8,0.0,9.6,6.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.3,3.2,0.0,0.0,,Primavera,22,Muito Seco,2024
469001,1,2024-08-01,1,110.0,171.5,26.0,6,0.0,13.5,0.0,1.5,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,36.6,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,Inverno,25,Normal,2024
